796,148
1680,6
358,12
197,15
59,4
482,8
613,25
361,90
141,37
34,104
484,54
1723,22
1959,32
60,0
307,54
362,112
363,606
200,104
3,2
202,83
106,20
743,23
744,11
308,16
489,41
203,41
888,9
1954,33
370,5
889,15
1945,52
1724,17
893,7
373,25
748,25
1859,12
1721,89
753,23
209,21
375,35
1728,19
376,5
377,18
1901,14
755,26
1681,4
147,24
654,8
756,42
757,18
758,142
501,19
1876,11
213,10
899,28
312,10
313,17
214,12
502,97
383,35
109,19
1706,65
1684,23
216,27
148,25
1891,5
310,32
1940,23
736,37
1690,16
503,41
10,10
400,17
762,57
150,62
384,21
1774,31
221,5
222,33
766,35
505,77
498,21
1719,15
303,26
225,30
226,18
1711,33
385,21
228,70
317,6
770,20
1903,70
772,155
230,37
114,32
388,12
153,94
232,40
233,33
777,61
779,5
1771,41
1652,43
907,27
784,23
1924,147
664,30
785,28
1942,33
512,70
513,80
786,24
14,47
1729,30
158,21
788,15
392,132
394,106
1655,25
160,68
243,37
523,9
72,3
244,21
396,52
397,63
246,46
74,31
398,39
917,122
1658,24
399,15
163,30
530,30
794,104
531,13
164,53
1966,14
252,23
797,36
534,12
798,10
402,24
1963,70
1735,26
1911,32
118,22
405,37
1507,41
321,35
406,23
677,19
353,36
1884,9
166,105
678,9
537,47
928,61
1598,13
542,25
1931,55
1659,40
1685,42
882,54
415,10
416,16
1621,70
417,13
80,31
546,52
547,12
1916,30
995,29
1640,58
327,15
1705,28
553,11
262,16
809,13
331,13
24,1
168,11
263,15
1641,31
556,23
935,227
420,30
938,33
1948,155
119,18
687,25
1842,9
1731,12
1952,7
815,7
1709,23
1978,34
1955,19
335,22
944,12
1740,42
946,17
356,43
569,20
267,28
268,223
1930,60
1970,4
1695,2
1699,7
171,14
575,15
820,7-4-2020
302,55
579,10
823,25
824,19
1895,4
269,50
173,16
1773,16
175,19
1586,18
826,36
85,1
431,11
432,3
86,7
828,175
1509,24
437,8
589,26
1734,38
590,14
1894,100
765,2
1926,26
439,74
273,10
177,29
703,5
274,19
339,8
1667,8
275,32
340,10
597,52
1742,50
603,28
1669,22
957,50
1674,60
599,706
277,0
840,17
441,34
279,10
606,48
88,0
1676,14
965,18
1702,34
845,31
1883,92
610,16
1714,7
90,12
342,32
847,37
848,25
37,2
180,21
532,19
851,20
1708,18
971,38
1904,31
1900,36
715,43
93,1
448,5
1525,18
716,66
281,31
855,187
183,46
1700,19
1730,15
737,10
856,86
450,10
451,19
184,20
344,262
1581,38
981,11
994,35
858,71
47,4
345,46
717,11
861,35
453,111
983,109
984,42
1961,90
622,66
96,0
718,30
986,16
626,17
285,23
865,38
1949,42
866,15
867,36
627,23
289,14
629,12
852,8
988,62
457,16
1960,67
668,24
1969,28
1701,18
293,9
1950,2
1783,81
98,4
614,12
189,17
296,38
1696,10
352,8
294,7
873,8
632,55
880,19
351,11
479,139
297,22
473,17
50,10
355,49
299,31
637,53
638,5
1892,41
879,22
301,27
